BELNR,WAERS,BUKRS,KTOSL,PRCTR,BSCHL,HKONT,DMBTR,WRBTR,label
456737,C2,C23,C1,C10,A1,B1,64962.21,0,regular
87791,C6,C61,C5,C53,A2,B1,522465.43,522465.43,regular
104539,C3,C30,C1,C17,A3,B1,903760.72,571,regular
73560,C1,C12,C9,C95,A1,B1,252628.54,0,regular
48480,C2,C20,C1,C11,A1,B1,1231440.06,20363,regular
270089,C7,C71,C1,C14,A3,B1,230323.36,0,regular
272714,C1,C10,C1,C16,A1,B1,373399.7,0,regular
160295,C1,C14,C2,C27,A1,B3,888555.15,194811,regular
233425,C1,C15,C4,C40,A1,B3,2004667.92,31473,regular
136973,C6,C65,C3,C34,A2,B2,958050.23,112519,regular
359779,C1,C13,C6,C69,A1,B2,24666.91,152546.44,regular
362825,C3,C35,C8,C86,A3,B3,452837.38,16406,regular
445901,C1,C11,C9,C93,A1,B1,4359973.01,25583.7,regular
122467,C8,C83,C2,C29,A1,B3,196279.38,610010.27,regular
515626,C6,C64,C1,C16,A2,B1,426731.37,102403,regular
183902,C1,C19,C2,C21,A1,B3,355077.34,38977,regular
332462,C1,C19,C1,C14,A1,B1,553488.68,3810,regular
510396,C7,C70,C1,C17,A3,B1,667208.78,0,regular
35049,C3,C35,C1,C14,A3,B1,304697.81,376232.49,regular
39934,C1,C12,C2,C20,A1,B3,315161.14,0,regular
411381,C1,C18,C1,C11,A1,B1,135832.52,0,regular
347199,C1,C19,C2,C20,A1,B3,10000000,46909,regular
205769,C1,C15,C3,C32,A1,B2,380890.75,0,regular
250152,C4,C46,C1,C13,A2,B1,1292147.65,0,regular
255444,C5,C55,C1,C19,A3,B1,354600.36,5383,regular
106248,C1,C18,C1,C19,A1,B1,656304.27,19611,regular
352760,C5,C59,C4,C43,A3,B3,1086299.73,3812,regular
132358,C3,C38,C8,C83,A3,B3,1354077.05,0,regular
330481,C1,C16,C2,C20,A1,B3,251715.94,0,regular
111076,C3,C32,C1,C14,A3,B1,37428.67,0,regular
367755,C2,C20,C1,C18,A1,B1,992706.3,229,regular
388208,C1,C13,C1,C13,A1,B1,397586.01,0,regular
291717,C3,C34,C5,C52,A3,B1,314781.31,102065,regular
2226,C1,C10,C1,C13,A1,B1,1816684.39,0,regular
273556,C1,C17,C1,C11,A1,B1,1251026.92,31305,regular
470603,C6,C60,C8,C87,A2,B3,61861.99,105700,regular
173320,C1,C17,C1,C13,A1,B1,513840.14,5110.72,regular
260441,C4,C40,C5,C59,A2,B1,464014.91,18768.67,regular
397782,C5,C53,C3,C39,A3,B2,613775.12,14343,regular
97491,C7,C79,C1,C19,A3,B1,516118.14,0,regular
446055,C6,C62,C1,C15,A2,B1,10420967.94,0,regular
242657,C7,C78,C1,C12,A3,B1,743673.64,21429,regular
322523,C6,C62,C6,C68,A2,B2,695388.61,26166,regular
227028,C8,C85,C1,C13,A1,B1,1269511.07,0,regular
